model 1;model 2;mae;norm_mae;norm_rmse;norm_time;precision;recall;rmse;time;total
surprise_BaselineOnly_explicit;surprise_KNNBaseline_explicit;0.716241083;0.887627741;0.878891467;0.931014375;0.927220248;0.533688386;0.927030725;7.582686448;0.711502217
surprise_BaselineOnly_explicit;surprise_KNNWithMeans_explicit;0.719101896;0.847185847;0.869185434;1;0.932391253;0.513013199;0.928026135;6.304458737;0.704180773
surprise_BaselineOnly_explicit;surprise_svd_explicit;0.708291998;1;1;0.242978138;0.939785081;0.506837209;0.91461034;20.33124067;0.677716418
surprise_svd_explicit;surprise_KNNBaseline_explicit;0.718569683;0.854709485;0.845964907;0;0.921498109;0.544357091;0.930407535;24.83335813;0.610564509
surprise_svd_explicit;surprise_KNNWithMeans_explicit;0.721743518;0.809842552;0.833822467;0.068985625;0.927394493;0.521550793;0.931652813;23.55513042;0.601202945
surprise_KNNBaseline_explicit;surprise_KNNWithMeans_explicit;0.779030852;0;0;0.757021862;0.901017689;0.547267801;1.017166158;10.8065762;0.349336087
