model 1;model 2;mae;norm_mae;norm_rmse;norm_time;precision;recall;rmse;time;total
surprise_svd;surprise_SVDpp;1.015314478;1;0.977612664;0.734593747;0.940802683;0.520805479;1.253636148;102.0332415;0.963385074
surprise_BaselineOnly;surprise_SVDpp;1.017172379;0.86362355;1;0.800904276;0.945367665;0.50735347;1.253376402;82.50697517;0.918721025
surprise_BaselineOnly;surprise_svd;1.020809429;0.596651356;0.718184917;1;0.94862785;0.494895323;1.256646115;23.87984395;0.691676323
surprise_SVDpp;surprise_KNNBaseline;1.022697718;0.458044274;0.310451708;0;0.9407647;0.515442029;1.261376771;318.3468979;0.345823192
surprise_svd;surprise_KNNBaseline;1.026206738;0.200469901;0.071016648;0.199095724;0.943983689;0.502100533;1.264154776;259.7197667;0.142078519
surprise_BaselineOnly;surprise_KNNBaseline;1.028937805;0;0;0.265406253;0.948996535;0.485678959;1.264978735;240.1935004;0.026540625
